as_of_date,patients_currently_in_icu,patients_currently_icu_intubated
2021-04-30,356.2857142857143,231.28571428571428
2021-04-29,367.14285714285717,238.14285714285714
2021-04-28,377.57142857142856,244.42857142857142
2021-04-27,387.14285714285717,252.71428571428572
2021-04-26,394.2857142857143,258.57142857142856
2021-04-25,402.57142857142856,262.2857142857143
2021-04-24,411,268.14285714285717
2021-04-23,419,273.57142857142856
2021-04-22,425.85714285714283,278.7142857142857
2021-04-21,432.14285714285717,284.57142857142856
2021-04-20,438,288.85714285714283
2021-04-19,443.85714285714283,294.2857142857143
2021-04-18,446.2857142857143,299.57142857142856
2021-04-17,449.7142857142857,303.85714285714283
2021-04-16,455.7142857142857,310.57142857142856
2021-04-15,461.85714285714283,317.2857142857143
2021-04-14,468.57142857142856,323.14285714285717
2021-04-13,477.14285714285717,329.42857142857144
2021-04-12,486.2857142857143,334.57142857142856
2021-04-11,495.85714285714283,338.2857142857143
2021-04-10,503.14285714285717,341.42857142857144
2021-04-09,506.85714285714283,342.85714285714283
2021-04-08,510.14285714285717,342.7142857142857
2021-04-07,514.4285714285714,342
2021-04-06,513.2857142857143,338.85714285714283
2021-04-05,513.7142857142857,336
2021-04-04,516.1428571428571,333.85714285714283
2021-04-03,520,332
2021-04-02,522.4285714285714,329.85714285714283
2021-04-01,525.2857142857143,330.42857142857144
2021-03-31,528.1428571428571,332.14285714285717
2021-03-30,535.2857142857143,338.85714285714283
2021-03-29,540.5714285714286,347.2857142857143
2021-03-28,546.7142857142857,357.7142857142857
2021-03-27,550,366.85714285714283
2021-03-26,554.5714285714286,375.14285714285717
2021-03-25,559,380.14285714285717
2021-03-24,561.4285714285714,383.42857142857144
2021-03-23,562,382.42857142857144
2021-03-22,564.7142857142857,382.2857142857143
2021-03-21,563.5714285714286,381.42857142857144
2021-03-20,564.8571428571429,382.2857142857143
2021-03-19,567.2857142857143,385.57142857142856
2021-03-18,570.2857142857143,391.42857142857144
2021-03-17,574,397.85714285714283
2021-03-16,580.8571428571429,407.57142857142856
2021-03-15,588.1428571428571,417.57142857142856
2021-03-14,596.2857142857143,425.2857142857143
2021-03-13,607,432.57142857142856
2021-03-12,616.2857142857143,438.57142857142856
2021-03-11,622.4285714285714,441.57142857142856
2021-03-10,628.1428571428571,444.14285714285717
2021-03-09,629.8571428571429,444.57142857142856
2021-03-08,628,443.57142857142856
2021-03-07,628.7142857142857,445.85714285714283
2021-03-06,626.4285714285714,446.42857142857144
2021-03-05,626.7142857142857,445.85714285714283
2021-03-04,631.2857142857143,448.14285714285717
2021-03-03,636.5714285714286,453.7142857142857
2021-03-02,640,458.14285714285717
2021-03-01,645,462.2857142857143
2021-02-28,652.8571428571429,463.57142857142856
2021-02-27,658.5714285714286,463.7142857142857
2021-02-26,663.4285714285714,467
2021-02-25,663.1428571428571,467.57142857142856
2021-02-24,665.1428571428571,468
2021-02-23,673.2857142857143,471.85714285714283
2021-02-22,683.4285714285714,475.7142857142857
2021-02-21,687.4285714285714,482.2857142857143
2021-02-20,693.7142857142857,490.7142857142857
2021-02-19,699,494.2857142857143
2021-02-18,706.5714285714286,499.7142857142857
2021-02-17,713.1428571428571,505.14285714285717
2021-02-16,717.7142857142857,506.2857142857143
2021-02-15,718.7142857142857,506.57142857142856
2021-02-14,720.5714285714286,506.85714285714283
2021-02-13,725.5714285714286,508.42857142857144
2021-02-12,729.8571428571429,513.5714285714286
2021-02-11,735.8571428571429,515.5714285714286
2021-02-10,743,515.1428571428571
2021-02-09,743.8571428571429,514.2857142857143
2021-02-08,745,513.1428571428571
2021-02-07,742.5714285714286,508.2857142857143
2021-02-06,736.7142857142857,502.57142857142856
2021-02-05,734,496.42857142857144
2021-02-04,728.1428571428571,491.7142857142857
2021-02-03,718.4285714285714,486
2021-02-02,714.4285714285714,482.57142857142856
2021-02-01,710,478.2857142857143
2021-01-31,709.5714285714286,474.85714285714283
2021-01-30,709.2857142857143,472.57142857142856
2021-01-29,705.2857142857143,470.2857142857143
2021-01-28,701.2857142857143,467.7142857142857
2021-01-27,697.7142857142857,464.7142857142857
2021-01-26,689.8571428571429,458.2857142857143
2021-01-25,687.7142857142857,454.42857142857144
2021-01-24,686.1428571428571,453.85714285714283
2021-01-23,677.4285714285714,448
2021-01-22,672.8571428571429,444.2857142857143
2021-01-21,669.8571428571429,439.57142857142856
2021-01-20,666,435.14285714285717
2021-01-19,662.5714285714286,433.57142857142856
2021-01-18,651.7142857142857,428.57142857142856
2021-01-17,641.4285714285714,421.57142857142856
2021-01-16,635.8571428571429,417.7142857142857
2021-01-15,626.7142857142857,409.7142857142857
2021-01-14,615.7142857142857,401.7142857142857
2021-01-13,608.5714285714286,396.85714285714283
2021-01-12,599.4285714285714,388.42857142857144
2021-01-11,593.1428571428571,383
2021-01-10,582.4285714285714,377
2021-01-09,574,371.14285714285717
2021-01-08,565,364.42857142857144
2021-01-07,554.1428571428571,357.42857142857144
2021-01-06,537.2857142857143,345.57142857142856
2021-01-05,522.7142857142857,334.2857142857143
2021-01-04,509.7142857142857,322.2857142857143
2021-01-03,499.42857142857144,311.7142857142857
2021-01-02,487.7142857142857,300.7142857142857
2021-01-01,477.57142857142856,291
2020-12-31,467,279.85714285714283
2020-12-30,459.85714285714283,271
2020-12-29,454.42857142857144,264.2857142857143
2020-12-28,447.7142857142857,259
2020-12-27,439.7142857142857,252.14285714285714
2020-12-26,431.85714285714283,246.14285714285714
2020-12-25,415.85714285714283,238.71428571428572
2020-12-24,408.85714285714283,235.85714285714286
2020-12-23,401.57142857142856,232.42857142857142
2020-12-22,394.57142857142856,229.28571428571428
2020-12-21,386.57142857142856,224
2020-12-20,378.42857142857144,218.14285714285714
2020-12-19,374.14285714285717,214.71428571428572
2020-12-18,376.7142857142857,212.71428571428572
2020-12-17,374.57142857142856,209.71428571428572
2020-12-16,371.2857142857143,206.85714285714286
2020-12-15,366.57142857142856,203.28571428571428
2020-12-14,362.2857142857143,199.28571428571428
2020-12-13,357.85714285714283,195.57142857142858
2020-12-12,351.57142857142856,189
2020-12-11,344.42857142857144,183
2020-12-10,336.2857142857143,176.28571428571428
2020-12-09,325.85714285714283,168.28571428571428
2020-12-08,315.57142857142856,160.57142857142858
2020-12-07,303.14285714285717,153.57142857142858
2020-12-06,292.7142857142857,146.71428571428572
2020-12-05,280.7142857142857,140.85714285714286
2020-12-04,271.14285714285717,134.85714285714286
2020-12-03,260,129.42857142857142
2020-12-02,252.57142857142858,124.42857142857143
2020-12-01,243.71428571428572,119.42857142857143
2020-11-30,234.28571428571428,114.57142857142857
2020-11-29,225.14285714285714,110.42857142857143
2020-11-28,217.71428571428572,106.57142857142857
2020-11-27,208.85714285714286,102.57142857142857
2020-11-26,199.42857142857142,97.14285714285714
2020-11-25,187.57142857142858,93.42857142857143
2020-11-24,176.42857142857142,89.14285714285714
2020-11-23,167.57142857142858,84.42857142857143
2020-11-22,159.42857142857142,79.57142857142857
2020-11-21,152.57142857142858,74.28571428571429
2020-11-20,145.14285714285714,69.71428571428571
2020-11-19,138.71428571428572,65.42857142857143
2020-11-18,133.28571428571428,61.42857142857143
2020-11-17,128.85714285714286,58.857142857142854
2020-11-16,125.57142857142857,57.42857142857143
2020-11-15,122,56.285714285714285
2020-11-14,117.71428571428571,55.42857142857143
2020-11-13,116,55
2020-11-12,115,56.285714285714285
2020-11-11,114.14285714285714,56.57142857142857
2020-11-10,113.14285714285714,56.857142857142854
2020-11-09,113,56.857142857142854
2020-11-08,112.71428571428571,56.57142857142857
2020-11-07,113.71428571428571,57.142857142857146
2020-11-06,113.57142857142857,57.57142857142857
2020-11-05,113.57142857142857,58.857142857142854
2020-11-04,115,59.714285714285715
2020-11-03,117.71428571428571,60.142857142857146
2020-11-02,118.14285714285714,60.57142857142857
2020-11-01,118.14285714285714,61.57142857142857
2020-10-31,116.71428571428571,62.285714285714285
2020-10-30,113.57142857142857,61.857142857142854
2020-10-29,111,59.714285714285715
2020-10-28,106.85714285714286,58.42857142857143
2020-10-27,101.28571428571429,57.285714285714285
2020-10-26,97.42857142857143,56
2020-10-25,95,55.285714285714285
2020-10-24,92.85714285714286,54.714285714285715
2020-10-23,92.85714285714286,54.714285714285715
2020-10-22,92,55.714285714285715
2020-10-21,92.85714285714286,56.42857142857143
2020-10-20,93.71428571428571,56.285714285714285
2020-10-19,94.14285714285714,56.42857142857143
2020-10-18,92.85714285714286,55.57142857142857
2020-10-17,92.71428571428571,54.57142857142857
2020-10-16,93,53.57142857142857
2020-10-15,92.71428571428571,51.714285714285715
2020-10-14,91,50.42857142857143
2020-10-13,90.14285714285714,48.857142857142854
2020-10-12,89.28571428571429,47.285714285714285
2020-10-11,88,46.142857142857146
2020-10-10,85.71428571428571,45.142857142857146
2020-10-09,81.71428571428571,43.42857142857143
2020-10-08,78.71428571428571,41.857142857142854
2020-10-07,77,40.142857142857146
2020-10-06,75.14285714285714,39.714285714285715
2020-10-05,72.85714285714286,39.57142857142857
2020-10-04,72.71428571428571,38.857142857142854
2020-10-03,72.28571428571429,37.857142857142854
2020-10-02,72.85714285714286,37.57142857142857
2020-10-01,75.71428571428571,39.57142857142857
2020-09-30,76.85714285714286,41.714285714285715
2020-09-29,76.85714285714286,43.285714285714285
2020-09-28,76.28571428571429,43.42857142857143
2020-09-27,74.14285714285714,44.142857142857146
2020-09-26,72.71428571428571,45
2020-09-25,71.28571428571429,45.57142857142857
2020-09-24,68.28571428571429,43.714285714285715
2020-09-23,66.14285714285714,42.142857142857146
2020-09-22,65.28571428571429,41.57142857142857
2020-09-21,65.28571428571429,41.42857142857143
2020-09-20,66.71428571428571,41
2020-09-19,67.14285714285714,40.57142857142857
2020-09-18,67.42857142857143,40.42857142857143
2020-09-17,66.85714285714286,40.142857142857146
2020-09-16,66.71428571428571,39.714285714285715
2020-09-15,67,38.714285714285715
2020-09-14,67.14285714285714,38.42857142857143
2020-09-13,66.42857142857143,37.857142857142854
2020-09-12,66.28571428571429,37.714285714285715
2020-09-11,66.42857142857143,37.714285714285715
2020-09-10,66,37.857142857142854
2020-09-09,65.85714285714286,38
2020-09-08,65.71428571428571,38.142857142857146
2020-09-07,64.57142857142857,37.57142857142857
2020-09-06,62.857142857142854,36.714285714285715
2020-09-05,60.714285714285715,35.57142857142857
2020-09-04,58.57142857142857,34
2020-09-03,56.142857142857146,32.285714285714285
2020-09-02,54.142857142857146,30.571428571428573
2020-09-01,52.142857142857146,28.714285714285715
2020-08-31,51.714285714285715,27.142857142857142
2020-08-30,52.57142857142857,26.428571428571427
2020-08-29,52.42857142857143,25.714285714285715
2020-08-28,51.57142857142857,25.571428571428573
2020-08-27,53.142857142857146,26.428571428571427
2020-08-26,54.285714285714285,27.571428571428573
2020-08-25,55.57142857142857,29.428571428571427
2020-08-24,55.857142857142854,31
2020-08-23,55.142857142857146,32.285714285714285
2020-08-22,56.57142857142857,34
2020-08-21,58,35.285714285714285
2020-08-20,57.857142857142854,35.42857142857143
2020-08-19,58.714285714285715,35.714285714285715
2020-08-18,58.714285714285715,35.57142857142857
2020-08-17,59.285714285714285,35.714285714285715
2020-08-16,60.285714285714285,36.142857142857146
2020-08-15,60.714285714285715,35.857142857142854
2020-08-14,62.142857142857146,36.285714285714285
2020-08-13,63.142857142857146,37
2020-08-12,64.71428571428571,38
2020-08-11,66.28571428571429,39.142857142857146
2020-08-10,66.85714285714286,40
2020-08-09,68,40.857142857142854
2020-08-08,68.71428571428571,41.285714285714285
2020-08-07,69.14285714285714,41.857142857142854
2020-08-06,70.85714285714286,42.857142857142854
2020-08-05,70,42.857142857142854
2020-08-04,69.42857142857143,42.42857142857143
2020-08-03,70.57142857142857,42.142857142857146
2020-08-02,71.71428571428571,42.57142857142857
2020-08-01,72.57142857142857,43.714285714285715
2020-07-31,73.71428571428571,45.285714285714285
2020-07-30,73.14285714285714,46.285714285714285
2020-07-29,73.85714285714286,47.714285714285715
2020-07-28,75,49.285714285714285
2020-07-27,77,51.285714285714285
2020-07-26,77.85714285714286,52.714285714285715
2020-07-25,79.42857142857143,54.285714285714285
2020-07-24,81,55.42857142857143
2020-07-23,84.85714285714286,57.285714285714285
2020-07-22,89.14285714285714,59.285714285714285
2020-07-21,91.57142857142857,60
2020-07-20,91.57142857142857,60.42857142857143
2020-07-19,93.14285714285714,61.57142857142857
2020-07-18,95.14285714285714,62.57142857142857
2020-07-17,96.28571428571429,62.857142857142854
2020-07-16,97.42857142857143,62.857142857142854
2020-07-15,98,62
2020-07-14,100.42857142857143,63.42857142857143
2020-07-13,102.42857142857143,64
2020-07-12,102.57142857142857,64.28571428571429
2020-07-11,102.57142857142857,64.85714285714286
2020-07-10,103.42857142857143,67
2020-07-09,104,69.28571428571429
2020-07-08,103.71428571428571,72.28571428571429
2020-07-07,106.14285714285714,74.85714285714286
2020-07-06,109.57142857142857,78.85714285714286
2020-07-05,113,82.42857142857143
2020-07-04,115.42857142857143,85.28571428571429
2020-07-03,118.42857142857143,87.14285714285714
2020-07-02,119.57142857142857,88.57142857142857
2020-07-01,121.57142857142857,89.85714285714286
2020-06-30,123.28571428571429,92.57142857142857
2020-06-29,128.28571428571428,96.57142857142857
2020-06-28,134.85714285714286,101.57142857142857
2020-06-27,145,109.28571428571429
2020-06-26,154.28571428571428,116.85714285714286
2020-06-25,164.57142857142858,125.42857142857143
2020-06-24,176.57142857142858,135.14285714285714
2020-06-23,188.28571428571428,144.57142857142858
2020-06-22,199.71428571428572,153.71428571428572
2020-06-21,212.57142857142858,161.71428571428572
2020-06-20,223.85714285714286,169.28571428571428
2020-06-19,238.57142857142858,178.57142857142858
2020-06-18,253.57142857142858,188.85714285714286
2020-06-17,270.42857142857144,201.57142857142858
2020-06-16,288.7142857142857,216.85714285714286
2020-06-15,308.42857142857144,232.85714285714286
2020-06-14,328.85714285714283,251.71428571428572
2020-06-13,349.2857142857143,269.57142857142856
2020-06-12,367.57142857142856,287.85714285714283
2020-06-11,385.42857142857144,305.57142857142856
2020-06-10,404.14285714285717,322.42857142857144
2020-06-09,425.7142857142857,337.7142857142857
2020-06-08,446.85714285714283,354
2020-06-07,468.57142857142856,371
2020-06-06,496.14285714285717,393.42857142857144
2020-06-05,528,417.57142857142856
2020-06-04,567,446.57142857142856
2020-06-03,606.1428571428571,476.85714285714283
2020-06-02,643.1428571428571,509.57142857142856
2020-06-01,678.5714285714286,544.5714285714286
2020-05-31,712.4285714285714,576.2857142857143
2020-05-30,750.7142857142857,606.2857142857143
2020-05-29,786.4285714285714,632.1428571428571
2020-05-28,820.2857142857143,657.1428571428571
2020-05-27,859.4285714285714,691.2857142857143
2020-05-26,902.7142857142857,727.8571428571429
2020-05-25,951.2857142857143,768.1428571428571
2020-05-24,1004.1428571428571,813.5714285714286
2020-05-23,1052.142857142857,861.1428571428571
2020-05-22,1102.4285714285713,913.2857142857143
2020-05-21,1156.5714285714287,967.7142857142857
2020-05-20,1206.5714285714287,1016.5714285714286
2020-05-19,1255,1063.4285714285713
2020-05-18,1307.2857142857142,1108.2857142857142
2020-05-17,1357.142857142857,1153.142857142857
2020-05-16,1405.7142857142858,1197.2857142857142
2020-05-15,1450.857142857143,1243.142857142857
2020-05-14,1506.857142857143,1292.7142857142858
2020-05-13,1568.5714285714287,1341.5714285714287
2020-05-12,1635.5714285714287,1399.5714285714287
2020-05-11,1702,1458.857142857143
2020-05-10,1785.2857142857142,1525.142857142857
2020-05-09,1863.7142857142858,1591.857142857143
2020-05-08,1952.2857142857142,1659.142857142857
2020-05-07,2027.4285714285713,1723.2857142857142
2020-05-06,2105.285714285714,1794.7142857142858
2020-05-05,2181.8571428571427,1864.857142857143
2020-05-04,2260.4285714285716,1937.857142857143
2020-05-03,2330.8571428571427,2008.7142857142858
2020-05-02,2407,2075.285714285714
2020-05-01,2482.285714285714,2144
2020-04-30,2561.714285714286,2214.8571428571427
2020-04-29,2636.285714285714,2276.5714285714284
2020-04-28,2699.5714285714284,2332
2020-04-27,2756.714285714286,2373.1428571428573
2020-04-26,2804.1428571428573,2411
2020-04-25,2850,2453.4285714285716
2020-04-24,2892.5714285714284,2488.714285714286
2020-04-23,2931.1428571428573,2523.8571428571427
2020-04-22,2965.1428571428573,2559.1428571428573
2020-04-21,2998,2591.285714285714
2020-04-20,3025.714285714286,2626.8571428571427
2020-04-19,3055.714285714286,2652.285714285714
2020-04-18,3080.285714285714,2671.8571428571427
2020-04-17,3099.5714285714284,2689.714285714286
2020-04-16,3088.1428571428573,2685.4285714285716
2020-04-15,3061.285714285714,2672.8571428571427
2020-04-14,3036,2644.285714285714
2020-04-13,3006.714285714286,2614.285714285714
2020-04-12,2940.285714285714,2581.8571428571427
2020-04-11,2867.5714285714284,2543.714285714286
2020-04-10,2784.8571428571427,2498
2020-04-09,2714,2436
2020-04-08,2621,2345.714285714286
2020-04-07,2510,2253
2020-04-06,2367.4285714285716,2130.8571428571427
2020-04-05,2233.714285714286,1990.857142857143
2020-04-04,2077.5714285714284,1832.142857142857
2020-04-03,1902.5714285714287,1657.857142857143
2020-04-02,1716.5714285714287,1500.4285714285713
2020-04-01,1550.2857142857142,1357
2020-03-31,NA,NA
2020-03-30,NA,NA
2020-03-29,NA,NA
2020-03-28,NA,NA
2020-03-27,NA,NA
2020-03-26,NA,NA
