date_2019,isoweek,total_claims_2019,rolling_avg_claims
2019-01-05,1,16110,10110
2019-01-12,2,8300,10243.33333
2019-01-19,3,6320,6713.333333
2019-01-26,4,5520,6153.333333
2019-02-02,5,6620,6073.333333
2019-02-09,6,6080,6076.666667
2019-02-16,7,5530,5660
2019-02-23,8,5370,7883.333333
2019-03-02,9,12750,7833.333333
2019-03-09,10,5380,7783.333333
2019-03-16,11,5220,5266.666667
2019-03-23,12,5200,5220
2019-03-30,13,5240,5240
2019-04-06,14,5280,5206.666667
2019-04-13,15,5100,5220
2019-04-20,16,5280,5673.333333
2019-04-27,17,6640,8516.666667
2019-05-04,18,13630,8546.666667
2019-05-11,19,5370,8023.333333
2019-05-18,20,5070,5243.333333
2019-05-25,21,5290,5206.666667
2019-06-01,22,5260,5473.333333
2019-06-08,23,5870,5620
2019-06-15,24,5730,5570
2019-06-22,25,5110,5626.666667
2019-06-29,26,6040,6933.333333
2019-07-06,27,9650,8993.333333
2019-07-13,28,11290,8783.333333
2019-07-20,29,5410,7316.666667
2019-07-27,30,5250,5313.333333
2019-08-03,31,5280,5333.333333
2019-08-10,32,5470,5470
2019-08-17,33,5660,6646.666667
2019-08-24,34,8810,7070
2019-08-31,35,6740,6906.666667
2019-09-07,36,5170,5890
2019-09-14,37,5760,5283.333333
2019-09-21,38,4920,5216.666667
2019-09-28,39,4970,5083.333333
2019-10-05,40,5360,5566.666667
2019-10-12,41,6370,5676.666667
2019-10-19,42,5300,5586.666667
2019-10-26,43,5090,5133.333333
2019-11-02,44,5010,5280
2019-11-09,45,5740,5333.333333
2019-11-16,46,5250,5476.666667
2019-11-23,47,5440,5120
2019-11-30,48,4670,5576.666667
2019-12-07,49,6620,5436.666667
2019-12-14,50,5020,5600
2019-12-21,51,5160,5366.666667
2019-12-28,52,5920,9063.333333
,53,,11155
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,