Date,Covid-19 Hospitalizations Index,Unemployment Claims Index,Home Sales Index,Rental Inventory Index,Subway Mobility Index,Restaurant Reservations Index
2020-01-04,16.7,10.28065894,14.6,16.1,15.8,16.7
2020-01-11,16.7,20.84520417,19.4,16.1,16.9,16.7
2020-01-18,16.7,16.60072535,19,16.2,16.7,16.7
2020-01-25,16.7,17.96069274,17.9,16.6,17.3,16.7
2020-02-01,16.7,16.56664848,18.2,16.3,17.2,16.7
2020-02-08,16.7,17.37183152,19.9,16.6,16.6,16.7
2020-02-15,16.7,17.12038717,17.1,16.3,16.6,16.7
2020-02-22,16.7,23.80233494,15.4,16,16.4,16.7
2020-02-29,16.7,9.670781893,19.1,15,16.5,17.1
2020-03-07,13.7,22.8384194,16.3,15.6,16.5,15.1
2020-03-14,7.6,13.25948305,14.6,15.5,12.9,10.4
2020-03-21,3.9,2.258566978,8.2,14.3,5.2,1.3
2020-03-28,1.9,0.607324988,4.8,13.1,2.1,0
2020-04-04,1.3,0.587686427,3.8,13.2,1.5,0
2020-04-11,1.5,0.471468054,4,13.2,1.3,0
2020-04-18,2.4,0.916680131,3.5,13.7,1.3,0
2020-04-25,3.6,1.301884293,3.6,14.7,1.5,0
2020-05-02,4.7,1.456636102,2.9,15.7,1.4,0
2020-05-09,5.6,1.343941932,2.7,15.6,1.6,0
2020-05-16,6.5,0.747680432,3.8,14.4,1.7,0
2020-05-23,7.1,0.886663715,4.1,13.3,1.8,0.1
2020-05-30,7.6,2.087942829,3.7,12.7,2.1,0.1
2020-06-06,8,1.936862421,5.7,11.7,2.1,0.1
2020-06-13,8.3,1.856295408,5.7,10.9,2.5,0.1
2020-06-20,8.5,2.093721317,6.9,10.4,2.9,0.1
2020-06-27,8.7,2.634045032,5.9,9.8,3.1,0.6
2020-07-04,9,3.105218332,7.9,9.5,4,1.1
2020-07-11,8.9,3.164480953,10.1,8.7,3.6,0.9
2020-07-18,9,2.638918945,11.9,8.4,4,1.5
2020-07-25,9.3,1.917617054,13.8,8.3,4,1.4
2020-08-01,9.3,2.258355917,15.6,7.9,4.1,1.7
2020-08-08,9.4,3.203326306,15,7.5,4.1,1.8
2020-08-15,9.4,3.296957672,20.8,7.3,4.4,2.2
2020-08-22,9.4,3.461613788,20.4,7.3,4.5,2.7
2020-08-29,9.7,3.27020202,21.6,7.3,4.5,2.7
2020-09-05,9.9,2.657462552,21.4,6.5,4.7,3.1
2020-09-12,9.9,2.415127689,18,6.5,5.1,3.2
2020-09-19,9.5,2.097068125,22.9,6.4,4.9,3.2
2020-09-26,9.4,2.169583155,18.1,6.5,5,3.5
2020-10-03,9,2.372833191,19.5,6.5,5.3,3.8
2020-10-10,8.7,2.430287981,24.1,6.6,5.4,4.2
2020-10-17,8.5,2.912452647,19.3,6.6,5.2,3.7
2020-10-24,8.4,3.006168501,21.2,6.7,5.3,4.2
2020-10-31,8.8,3.786574871,21.6,6.5,5.3,3.5
2020-11-07,8.4,4.111419467,18.8,6.6,5.1,3.2
2020-11-14,7.9,4.461279462,19.8,6.6,5.5,3.8
2020-11-21,7.1,3.926982666,19.1,6.8,5.3,3.2
2020-11-28,6.8,4.815774324,20.3,7.4,5.5,2.7
2020-12-05,6.1,3.74735778,20.9,6.3,5,2.4
2020-12-12,5.6,3.487792725,23.6,6.4,5,1.8
2020-12-19,5.5,5.227612183,23.9,6.8,4.8,1.2
2020-12-26,5.2,6.986843457,27.3,7.5,5.6,1.3
2021-01-02,5.1,8.643266698,25.1,8.7,5.5,2
2021-01-09,4.9,5.277168807,27.6,6.9,5,1.4
2021-01-16,4.5,6.928661614,24.1,6.9,5.3,1.8
2021-01-23,4.5,4.330065359,22.4,7.1,5.6,2.1
2021-01-30,4.7,3.385789223,21.3,7.3,5,1.4
2021-02-06,4.6,4.314672729,22,7.4,4.6,1.3
2021-02-13,4.7,4.511259589,25.2,7.4,5.3,1.7
2021-02-20,5,5.10185686,28.7,7.5,5.5,3.8
2021-02-27,4.8,5.384790528,26.9,7.8,5.5,3.9
2021-03-06,5.2,7.220993117,27,8.3,5.7,3.7
2021-03-13,5.2,7.170935446,28.5,8.4,5.8,4.1
2021-03-20,5.4,5.626780627,26.7,8.5,5.8,3.7
2021-03-27,5.179330825,5.147928994,28.33333333,9.344570706,5.966666667,4.291666667
2021-04-03,5.428065124,4.780149608,24.2248062,9.790082888,5.538095238,4.040952381
2021-04-10,5.681503069,3.277106412,28.06451613,9.401653484,6.035714286,4.966666667
2021-04-17,5.980474634,4.806629834,27.13347921,9.585610305,5.945238095,3.68952381
2021-04-24,6.557534886,5.238534934,27.75229358,10.08930418,6.738095238,5.261428571
2021-05-01,7.016786212,10.96943156,27.66592095,10.64158687,6.364285714,5.43452381
2021-05-08,7.953509044,13.22603941,26.81602172,10.75158245,6.626190476,5.8811904759999996
2021-05-15,8.433651297,14.48778139,28.50035537,10.93856035,6.876190476,6.382619048
2021-05-22,8.908960838,10.3296559,28.53363568,11.54933601,7.023809524,6.866904762
2021-05-29,9.453631227,10.50578424,30.42071197,12.17922015,6.980952381,6.97047619
2021-06-05,9.963071472,11.87789352,27.25442834,12.4669916,7.426190476,6.914761905
2021-06-12,9.906096271,11.25801282,29.6025953,12.66840414,7.545238095,7.891190476
2021-06-19,10.32860372,11.69185558,26.86915888,13.20538082,7.94047619,8.221904762
2021-06-26,10.1065789,10.72972286,25.03770739,13.44377869,7.90952381,8.57
2021-07-03,10.1065789,10.93240828,23.45163535,14.34057395,8.197619048,9.155
2021-07-10,10.27417771,9.764748461,28.04761905,14.25880112,8.323809524,8.005
2021-07-17,9.593734603,14.71245114,23.74074074,14.46262811,8.342857143,8.763333333
2021-07-24,9,14.70982442,21.4,15.7,8.5,8.9
2021-07-31,8.179677064,11.4265233,24.17898194,16.39223729,8.321428571,8.543333333
2021-08-07,7.733868076,14.02032948,24.48812449,15.48175064,8.326190476,8.323333333
2021-08-14,6.921717059,14.969896,24.56140351,16.19573814,8.307142857,8.166666667
2021-08-21,7.011234345,17.83861156,25.77464789,16.17671302,8.661904762,8.853333333
2021-08-28,7.299301634,13.40538491,27.05882353,15.06906326,7.678571429,7.916666667
2021-09-04,7.270819745,17.00311833,25.2803262,15.80193213,8.042857143,7.771666667
2021-09-11,7.472017661,12.41045091,20.64989518,15.09827374,8.814285714,8.471666667
2021-09-18,7.524643121,14.15684173,21.5542522,15.15243487,8.723809524,8.376666667
2021-09-25,7.668086716,12.43840407,25.70977918,14.26496129,9.066666667,8.756666667
2021-10-02,8.23403804,13.49079972,25.20938023,14.26862288,9.076190476,9.308333333
2021-10-09,8.184560346,14.89209916,28.99728997,14.93504905,9.276190476,9.546666667
2021-10-16,8.576333313,17.61845645,29.20310982,14.52802008,9.15952381,9.403333333
2021-10-23,9.075073077,17.53504917,30.50314465,14.27966281,9.485714286,9.555
2021-10-30,9.38261759,17.46031746,25.71770335,13.68213076,9.507142857,8.786666667
2021-11-06,9.365238757,17.77777778,26.30568356,14.85095669,9.685714286,9.181666667
2021-11-13,9.191069962,18.28989483,24.78927203,14.74592863,9.869047619,10.585
2021-11-20,9.030436762,18.25555556,28.35341365,14.07365676,9.980952381,10.875
2021-11-27,8.576333313,21.71331637,16.26889419,13.14831857,10.37142857,10.70833333
2021-12-04,7.888943895,15.33736707,36.24535316,14.89107416,9.952380952,9.838333333
2021-12-11,6.70515206,19.1972693,27.732240440000002,15.08151177,9.873809524,10.44166667
2021-12-18,5.573604035,19.44444444,23.48090278,14.38193001,9.578571429,9.355
2021-12-25,3.808528207,14.28824991,19.39058172,13.20755507,8.847619048,6.776666667
2022-01-01,2.749279394,17.14592004,31.23993559,12.122984,8.223809524,7.858333333
2022-01-08,2.448823084,10.98435463,31.97596795,14.10531887,7.419047619,6.181666667
2022-01-15,3.1017671004314757,19.578236487003057,28.248259864065925,14.00447318693881,7.81904761904762,5.983333333333334
2022-01-22,4.147056075895247,16.47848142611684,24.88610478076468,13.707442512937936,8.421428571428573,6.953333333333333
2022-01-29,5.370844687474943,15.01545469253294,24.92385787055065,13.305063097180588,7.9,6.06
2022-02-05,6.430195692507755,15.359973022255945,28.706467661691544,14.017798163899023,8.685714285714285,7.593333333333334
2022-02-12,7.25204743164876,15.899180185766616,27.33031674455478,13.689803631966788,9.576190476190474,8.51
2022-02-19,8.310547466383662,17.436845348120766,30.436760694307257,13.716449984950636,9.326190476190478,8.905
